municipio,ano,produto,area_colhida_ha,quantidade_produzida_t,rendimento_medio_kg_ha,preco_mediano_r$_kg,preco_medio_r$_kg,preco_std_r$_kg,num_observacoes_preco
Juazeiro (BA),2013,Manga,8086,210236,26000,1.365,1.365,0.41719300090006295,2
Juazeiro (BA),2013,Uva,1270,27940,22000,4.3,4.4435714285714285,1.355958968875801,14
Juazeiro (BA),2014,Manga,2130,55380,26000,1.255,1.4449999999999998,0.6107099693526107,4
Juazeiro (BA),2014,Uva,1576,39400,25000,4.335,4.574166666666667,1.4930168259012495,12
Juazeiro (BA),2015,Manga,2130,44730,21000,1.59,1.7066666666666668,0.6429878174066235,3
Juazeiro (BA),2015,Uva,1576,39400,25000,4.199999999999999,4.777142857142857,2.0600949514018057,14
Juazeiro (BA),2016,Manga,2130,108900,51127,1.81,1.81,0.4384062043356595,2
Juazeiro (BA),2016,Uva,1576,39400,25000,5.56,5.792307692307692,2.1396734713742105,13
Juazeiro (BA),2017,Manga,7458,144770,19411,1.43,1.42,0.3151190251317746,3
Juazeiro (BA),2017,Uva,1150,32000,27826,4.895,5.236,2.0135165479550667,10
Juazeiro (BA),2018,Manga,8527,148368,17400,1.12,1.11,0.15524174696260026,3
Juazeiro (BA),2018,Uva,1100,33500,30455,5.015000000000001,5.01125,1.9384267368888912,8
Juazeiro (BA),2019,Manga,6650,179353,26970,1.73,1.79,0.3340658617698013,3
Juazeiro (BA),2019,Uva,1078,43282,40150,5.23,5.383,1.7847007218765465,10
Juazeiro (BA),2020,Manga,10000,250000,25000,1.49,1.49,0.1131370849898477,2
Juazeiro (BA),2020,Uva,1125,33303,29603,6.1,6.108,2.0736591383885212,10
Juazeiro (BA),2021,Manga,11326,322206,28448,1.475,1.475,0.1626345596729059,2
Juazeiro (BA),2021,Uva,1580,47986,30371,5.955,5.975,2.4567152867192408,10
Juazeiro (BA),2022,Manga,12237,362396,29615,1.585,1.585,0.06363961030678918,2
Juazeiro (BA),2022,Uva,1636,50710,30996,7.1,7.626666666666667,2.389063624100455,9
Juazeiro (BA),2023,Manga,12502,377524,30197,2.225,2.225,0.007071067811865324,2
Juazeiro (BA),2023,Uva,1626,47489,29206,8.14,8.6,2.8014353463894186,6
Juazeiro (BA),2024,Manga,13737,417566,30397,2.9,2.9,0.08485281374238578,2
Juazeiro (BA),2024,Uva,1983,59819,30166,11.84,10.877142857142857,3.3494064861589745,7
Petrolina (PE),2013,Manga,7880,173360,22000,1.365,1.365,0.41719300090006295,2
Petrolina (PE),2013,Uva,4642,162448,34995,4.3,4.4435714285714285,1.355958968875801,14
Petrolina (PE),2014,Manga,7880,157600,20000,1.255,1.4449999999999998,0.6107099693526107,4
Petrolina (PE),2014,Uva,4642,162448,34995,4.335,4.574166666666667,1.4930168259012495,12
Petrolina (PE),2015,Manga,8100,178200,22000,1.59,1.7066666666666668,0.6429878174066235,3
Petrolina (PE),2015,Uva,4642,162448,34995,4.199999999999999,4.777142857142857,2.0600949514018057,14
Petrolina (PE),2016,Manga,8190,180180,22000,1.81,1.81,0.4384062043356595,2
Petrolina (PE),2016,Uva,4802,264110,55000,5.56,5.792307692307692,2.1396734713742105,13
Petrolina (PE),2017,Manga,7880,173360,22000,1.43,1.42,0.3151190251317746,3
Petrolina (PE),2017,Uva,5800,336400,58000,4.895,5.236,2.0135165479550667,10
Petrolina (PE),2018,Manga,8150,366750,45000,1.12,1.11,0.15524174696260026,3
Petrolina (PE),2018,Uva,6250,333750,53400,5.015000000000001,5.01125,1.9384267368888912,8
Petrolina (PE),2019,Manga,8200,369000,45000,1.73,1.79,0.3340658617698013,3
Petrolina (PE),2019,Uva,6300,346500,55000,5.23,5.383,1.7847007218765465,10
Petrolina (PE),2020,Manga,9000,360000,40000,1.49,1.49,0.1131370849898477,2
Petrolina (PE),2020,Uva,6290,274730,43677,6.1,6.108,2.0736591383885212,10
Petrolina (PE),2021,Manga,9500,285000,30000,1.475,1.475,0.1626345596729059,2
Petrolina (PE),2021,Uva,6250,312500,50000,5.955,5.975,2.4567152867192408,10
Petrolina (PE),2022,Manga,8800,308000,35000,1.585,1.585,0.06363961030678918,2
Petrolina (PE),2022,Uva,5500,236500,43000,7.1,7.626666666666667,2.389063624100455,9
Petrolina (PE),2023,Manga,9400,376000,40000,2.225,2.225,0.007071067811865324,2
Petrolina (PE),2023,Uva,8500,439246,51676,8.14,8.6,2.8014353463894186,6
Petrolina (PE),2024,Manga,9400,282000,30000,2.9,2.9,0.08485281374238578,2
Petrolina (PE),2024,Uva,11700,610739,52200,11.84,10.877142857142857,3.3494064861589745,7
